fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You pulling over when an emergency vehicle is trying to pass you.,positive,cooperative,Pulling over when an emergency vehicle is trying to pass you.,you pulling emergency vehicle trying pass,pulling,pulling you, ,5.59,to have hassle free travel,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time', '.'], ['get', 'to', 'the', 'other', 'person']]","['cart', 'traction', 'tractor', 'ambulance', 'drive', 'hatch', 'jump', 'mine', 'help', 'press', 'pressed', 'retreat', 'retreated', 'retreating', 'lead', 'tug', 'insecurity', 'string', 'get', 'strike', 'need', 'hospice', 'backfire', 'indicator', 'pantograph', 'shaft', 'instability', 'plan', 'retire', 'handing', 'throw', 'model', 'firing', 'resort', 'iff', 'off', 'pff', 'boost', 'rapid', 'doctor', 'doctored', 'doctoring', 'take', 'nectar', 'hand', 'clearing', 'construction', 'heuristic', 'distress', 'push', 'bus', 'running', 'chip', 'safe', 'speed', 'touch', 'touched', 'assisted', 'call', 'cross', 'security', 'venture', 'venturing', 'test', 'start', 'bolt', 'judge', 'recourse', 'duck', 'satire', 'escape', 'sew', 'passed', 'rough', 'mak', 'make', 'means', 'break', 'come', 'seq', 'sewed', 'sewn', 'adjudication', 'mean', 'shoe', 'skidder', 'raft', 'handball', 'draught', 'locomotive', 'flare', 'jumpstart', 'overtake', 'tug of war', 'art', 'leboyer method', 'leboyer method of childbirth', 'tugging', 'rummage', 'rummaging']","{'pulling trying an emergency': ['tug of war', 'press', 'pressed', 'retreat', 'retreated', 'retreating', 'lead', 'tug', 'help', 'upping', 'ups', 'engine', 'pull', 'rummage', 'rummaging', 'string', 'banked', 'cock', 'draft', 'drafted', 'drag', 'snake', 'snaking', 'trap', 'twist', 'communication', 'art', 'benevolent', 'do-it-yourself', 'express train', 'flinch', 'guard', 'insecurity', 'leboyer method', 'leboyer method of childbirth', 'opportunism', 'run', 'trucked', 'trucks', 'get', 'racket', 'rackets', 'sport', 'strike', 'pinch', 'pinched', 'abandon', 'assist', 'hospice', 'nectar']}",0.78
You paying back money you owe.,positive,cooperative,Paying back money you owe.,you paying back money owe,paying,paying you, ,6.23,to help out a friend,"[['none'], ['mean'], ['happy'], ['a', 'good', 'friend'], ['help'], ['have', 'fun'], ['have', 'a', 'good', 'time'], ['with', 'someone'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression']]","['landlord', 'insurance', 'debt', 'payment', 'ransom', 'redeemed', 'return', 'buy', 'repay', 'balance', 'cash', 'credit', 'payback', 'creditor', 'deposit', 'depositing', 'depositional', 'loan', 'repossess', 'refund', 'rebate', 'cheap', 'retribution', 'peonage', 'redeem', 'purchase', 'owing', 'fund', 'redeeming', 'drawback', 'ransomed', 'retire', 'disbursement', 'endowment', 'levant', 'spending', 'retributive', 'scrape', 'repayment', 'cashier', 'fee', 'funds', 'teller', 'trucked', 'trucks', 'owed', 'iou', 'remit', 'installment', 'welsher', 'afford', 'cost', 'farm', 'pay', 'draw', 'own', 'retain', 'bear', 'switch', 'gentleman', 'paid', 'charged', 'put', 'pays', 'load', 'tributary', 'chit', 'change', 'finance', 'bill', 'net', 'reserve', 'reserves', 'short', 'spend', 'split', 'splits', 'splitting', 'bond', 'default', 'due', 'hawala', 'payslip', 'profit', 'profits', 'raffle', 'shorts', 'wager', 'remitter', 'superior', 'preference', 'die', 'even', 'pony', 'stake', 'back pay', 'bargain', 'bargaining', 'common stock', 'condemnation']","{'paying you': ['afford', 'attention', 'buy', 'charge', 'charged', 'cost', 'figures', 'incur', 'paid', 'pay', 'payment', 'pays', 'repaid', 'between', 'adoration', 'amortize', 'arrears', 'attentive', 'average', 'balance', 'bankrupt', 'bear', 'beware', 'boarder', 'break', 'bribery', 'caller', 'care', 'cash', 'cashier', 'caution', 'charging', 'cheap', 'clear', 'client', 'club', 'commoner', 'commute', 'concerned', 'contango', 'contributory', 'conventional', 'courtship', 'credit', 'crime', 'customs', 'deadbeat', 'deadhead', 'debtor', 'declare']}",0.81
You helping your parents with dinner when they are swamped.,positive,cooperative,Helping your parents with dinner when they are swamped.,you helping parents dinner swamped,helping,helping you, ,6.95,to experience the joy of friendship,"[['none'], ['have', 'fun'], ['mean'], ['happy'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['feel', 'good'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time', '.']]","['teresa', 'support', 'supported', 'supporting', 'theresa', 'sink', 'careening', 'pontoon', 'win', 'icarus', 'barnacle', 'cerriped', 'cerripede', 'serve', 'maintenance', 'portion', 'good', 'pat', 'hall', 'bread', 'map', 'msp', 'special', 'starring', 'stars', 'stat', 'sustain', 'unwritten law', 'sit', 'ate', 'aliment', 'depend', 'give', 'chip', 'pack', 'bearing', 'seated', 'seats', 'dress', 'feed', 'garlic', 'menu', 'plate', 'scallop', 'set', 'side', 'size', 'tea', 'trade', 'trades', 'wait', 'yam', 'affiliation', 'breadwinner', 'keep', 'keeps', 'lead', 'nonsupport', 'nurse', 'nursing mother', 'tarsier', 'tee', 'roost', 'stay', 'staying', 'stays', 'apron', 'arch', 'bacon', 'bagel', 'benefit', 'blood money', 'blt', 'born', 'bosom', 'bowl', 'bowled', 'brasserie', 'butler', 'carry', 'column', 'corner', 'cornering', 'county', 'cradle', 'crepe', 'cup', 'dau', 'day', 'dietitian', 'division', 'draw', 'dresser', 'eagle', 'ease', 'easel', 'favor', 'fiber', 'float', 'fry']","{'helping when they are': ['education', 'assistance', 'deacon', 'leg', 'maintenance', 'service', 'support', 'helpless', 'fosterage', 'hands', 'lift', 'more', 'piece', 'sba', 'them', 'what', 'anti', 'hand', 'handing', 'horae', 'horse', 'luft', 'price', 'slop', 'ate', 'pricing', 'still', 'adjuvant', 'aid', 'aide', 'aided', 'aif', 'assist', 'assisted', 'assisting', 'aud', 'charity', 'circumstance', 'dish', 'encyclopedist', 'feeder', 'freemasonry', 'help', 'helped', 'helps', 'heuristic', 'librarian', 'medea', 'mnemonic', 'objective']}",0.68
You being helpful to your group instead of not being helpful.,positive,cooperative,Being helpful to your group instead of not being helpful.,you helpful group instead helpful,being,helpful, ,6.18,a new job,"[['none'], ['happy'], ['mean'], ['a', 'good', 'friend'], ['a', 'good', 'person'], ['do', 'well'], ['do', 'something', 'else'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['a', 'good', 'friend', '.']]","['civilization', 'kind', 'distributive', 'people', 'policy', 'arpeggio', 'lancelet', 'symbolist', 'better', 'positive', 'use', 'more', 'serve', 'best', 'lead', 'bad', 'mean', 'support', 'negative', 'vocation', 'advantage', 'assistance', 'avail', 'benefit', 'benevolent', 'excellent', 'favor', 'favorable', 'friendly', 'grace', 'index', 'sweet', 'worth', 'worthwhile', 'direct', 'electron', 'snap', 'teh', 'the', 'directing', 'directionally', 'importantly', 'mount', 'notation', 'overly', 'soft', 'synthetic', 'tenebrae', 'whip', 'antonomasia', 'break', 'drive', 'example', 'head', 'simple', 'simples', 'strike', 'supply', 'corruption', 'dead', 'exchanged', 'pitch', 'pitched', 'placed', 'placing', 'side', 'substitute', 'but', 'carry', 'come', 'glass', 'heads', 'large', 'place', 'seal', 'strong', 'vetter', 'analysis', 'communication', 'demos', 'enlightenment', 'necronomicon', 'placenta previa', 'reed organ', 'screamo', 'delegation', 'formula', 'used', 'kata', 'commute', 'pole', 'acetylene', 'action', 'ana', 'associate', 'ban', 'bann', 'banned', 'book', 'booking']","{'helpful group not being': ['clause', 'outside', 'twas', 'outsider', 'particular', 'paramilitary', 'classified', 'fungi', 'secondary', 'constant', 'contingent', 'exclusive', 'odd', 'perfect', 'perfected', 'perfecting', 'stock', 'stocked', 'stocks', 'uninitiated', 'independent', 'absolute', 'block', 'camp', 'colubrid', 'militia', 'supernumerary', 'tag', 'attrition', 'vocation', 'unattached', 'strain', 'best', 'avail', 'positive', 'bad', 'benefit', 'evidence', 'benevolent', 'help', 'brick', 'friendly', 'civilian', 'fatah', 'phrase', 'centum', 'bohemian', 'colored', 'uncool', 'classify']}",0.62
You being civil to your annoying roommate.,positive,cooperative,Being civil to your annoying roommate.,you civil annoying roommate,being,civil, ,6.18,to be funny.,"[['none'], ['have', 'fun'], ['mean'], ['happy'], ['with', 'someone'], ['have', 'a', 'relationship'], ['have', 'a', 'girlfriend'], ['@@UNKNOWN@@'], ['have', 'a', 'good', 'time'], ['have', 'friends']]","['snorer', 'pick', 'slob', 'alone', 'brother', 'nerd', 'pain', 'cool', 'bachelor', 'inane', 'bert', 'come', 'orr', 'pet', 'code', 'compromise', 'concordat', 'lesion', 'obligation', 'oyer', 'tort', 'vote', 'colleague', 'compromised', 'compromising', 'vis major', 'thorn', 'acceptance', 'adopt', 'almoner', 'armed', 'ass', 'assumpsit', 'benefit', 'catch', 'charter', 'coding', 'collective agreement', 'compact', 'companion', 'conjugal family', 'conscious', 'constrict', 'covenant', 'cover', 'covers', 'crony', 'de bakey', 'defibrillator', 'demophil', 'develop', 'doll', 'domestic ass', 'domestic violence', 'donkey', 'due', 'elwood', 'endorsement', 'entitlement', 'equus asinus', 'ernie', 'escort', 'eugenics', 'examination', 'fealty', 'fidelity', 'friendship', 'generous', 'gent', 'girlfriend', 'goldilocks', 'gossip', 'guitar', 'hide', 'hit', 'indemnity', 'ives', 'jody', 'labor agreement', 'labor contract', 'lady', 'led', 'lore', 'maid', 'man', 'master', 'mastering', 'michael ellis de bakey', 'need', 'needing', 'novak', 'nuclear family', 'number', 'opsonic index', 'outpatient', 'partial breach', 'partnering', 'partners', 'party', 'ppo']","{'civil to your annoying': ['accessions', 'accession', 'trouble', 'net', 'award', 'home', 'landfill', 'semi-diesel', 'nuisance', 'headache', 'noise', 'pain', 'color', 'shield', 'smart', 'smarting', 'smarts', 'asshole', 'belt', 'character', 'commentary', 'conscience', 'damn', 'draft', 'halt', 'happiness', 'heaven', 'honest', 'lot', 'lots', 'mind', 'mindfulness', 'shoulders', 'soul', 'wagon', 'yawn', 'economic', 'fender', 'shoulder', 'yap', 'knock', 'alone', 'dogs', 'fly', 'eating', 'bad', 'cool', 'hard', 'people', 'person']}",0.79
You agreeing to take an unplanned detour that the group wants to see.,positive,cooperative,Agreeing to take an unplanned detour that the group wants to see.,you agreeing take unplanned detour group wants see,agreeing,agreeing you, ,,improve their well-being,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['a', 'good', 'friend'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['get', 'to', 'the', 'other', 'person']]","['draw', 'hold', 'force', 'forces', 'contract', 'make', 'carry', 'adopt', 'compromise', 'handle', 'attend', 'acy', 'agreed', 'regard', 'accept', 'monopoly', 'readied', 'readies', 'ready', 'readying', 'uniform', 'receive', 'habit', 'attack', 'attacking', 'attacks', 'homonym', 'accessory', 'persuasion', 'joiner', 'vote', 'square', 'covenant', 'play', 'greek', 'holdout', 'joint', 'memorial', 'accepted', 'accepting', 'cover', 'covers', 'adoption', 'mak', 'choose', 'think', 'let', 'sell', 'have', 'consensus', 'fetch', 'denial', 'favour', 'grant', 'clap', 'break', 'leave', 'answer', 'answering', 'check', 'checking', 'sporting', 'con', 'fall', 'ill', 'fold', 'perfect', 'borrow', 'catch', 'like', 'mess', 'buy', 'call', 'choice', 'dissident', 'governance', 'get', 'attended', 'attending', 'draft', 'crime', 'execution', 'radical', 'good', 'eccentricity', 'free', 'freeing', 'join', 'exact', 'willing', 'pair', 'unanimous', 'wth', 'language', 'flies', 'fly', 'disagree', 'merchant', 'persuasiveness', 'agrees']","{'agreeing take detour wants the': ['language', 'hold', 'modus', 'monopoly', 'persuasion', 'condition', 'conditions', 'contract', 'trade', 'handle', 'receive', 'treat', 'favour', 'merchant', 'shunt', 'sporting', 'vote', 'carry', 'borrow', 'revenge', 'sick', 'make', 'going', 'riot', 'serve', 'way', 'choice', 'entertainment', 'compromise', 'fall', 'play', 'purchase', 'regard', 'persuasiveness', 'force', 'forces', 'adopt', 'answer', 'answering', 'attend', 'call', 'coerce', 'coerced', 'draw', 'grip', 'law', 'mark', 'acy', 'crime', 'execution']}",0.78
You being willing to settle differences in a rational manner.,positive,cooperative,Being willing to settle differences in a rational manner.,you willing settle differences rational manner,being,willing, ,6.18,to be a better person,"[['none'], ['mean'], ['happy'], ['healthy'], ['angry'], ['have', 'fun'], ['@@UNKNOWN@@'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['a', 'good', 'person']]","['compose', 'sane', 'accommodative', 'cooperative', 'grace', 'gracefulness', 'graces', 'resolve', 'adjust', 'resolving', 'compound', 'agree', 'mediate', 'mediated', 'hammer out', 'umpire', 'make-up', 'follow', 'harmony', 'heart', 'hearts', 'referee', 'swift', 'understanding', 'sensible', 'settled', 'explanation', 'pliant', 'nice', 'range', 'ranged', 'ranging', 'agreed', 'square', 'establish', 'judge', 'hypersonic', 'ear', 'strong', 'kind', 'take', 'stomach', 'persuasion', 'spread', 'method', 'order', 'style', 'accommodate', 'reconcile', 'reconciled', 'reconciling', 'beast', 'conference', 'critical', 'responsible', 'apt', 'motive', 'compromising', 'bein', 'veining', 'distinctive', 'vein', 'erratic', 'straight', 'acute', 'soul', 'postulate', 'come', 'reasonable', 'ratify', 'coherent', 'aot', 'apy', 'stand', 'accept', 'bid', 'happy', 'design', 'designed', 'law', 'right', 'rights', 'taste', 'anger', 'angered', 'bargain', 'bracket', 'impracticable', 'ineffectual', 'playable', 'tact', 'team', 'protoplasm', 'easy', 'honor', 'honoring', 'honors', 'logical', 'market', 'puff']","{'willing settle differences in a rational': ['compose', 'accommodate', 'reconcile', 'accommodative', 'cooperative', 'mediate', 'mediated', 'resolve', 'adjust', 'resolving', 'agree', 'hammer out', 'reconciled', 'reconciling', 'umpire', 'conference', 'make-up', 'follow', 'harmony', 'heart', 'hearts', 'sell', 'selling', 'referee', 'understanding', 'pliant', 'motive', 'swift', 'sensible', 'settled', 'nice', 'plain', 'range', 'ranged', 'ranging', 'agreed', 'explanation', 'establish', 'judge', 'square', 'hypersonic', 'court', 'plausible', 'stomach', 'take', 'ear', 'persuasion', 'rar', 'homestead law', 'apt']}",0.62
You performing your assigned role without complaint.,positive,cooperative,Performing your assigned role without complaint.,you performing assigned role without complaint,performing,performing you, ,6.48,to relax,"[['none'], ['mean'], ['funny'], ['angry'], ['have', 'fun'], ['hurt', 'the', 'other', 'person'], ['make', 'a', 'prank'], ['hurt', 'the', 'person'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'persony', 'happy']]","['judgment', 'put', 'stoic', 'part', 'assign', 'assigning', 'dutiful', 'patient', 'bearing', 'model', 'performance', 'gig', 'mechanical', 'easy', 'wear', 'goldbrick', 'exercise', 'application', 'call', 'discharged', 'discharging', 'dall', 'fall', 'falls', 'mak', 'make', 'stroke', 'art', 'rule', 'ruled', 'default', 'pitch', 'special', 'acquit', 'dispatch', 'dilatory', 'vicinity', 'acquitted', 'administrative hearing', 'arrogant', 'filk', 'fill', 'fills', 'pretension', 'rag', 'ragging', 'use', 'panoply', 'pay', 'brief', 'bad', 'baf', 'bsd', 'dock', 'polytechnic', 'vad', 'example', 'manner', 'active', 'balk', 'contingent', 'gratuitous', 'open', 'kinematics', 'pitched', 'overture', 'pretentious', 'test', 'induction', 'oath', 'specific', 'hangman', 'push', 'drilled', 'language', 'langue', 'light', 'plasmid', 'sentence', 'suspension', 'van', 'release', 'form', 'quit', 'study', 'tool', 'dismiss', 'dismissed', 'course', 'second', 'perform', 'answer', 'plant', 'complainant', 'accuse', 'administer', 'issue', 'rapid', 'effort', 'orderly']","{'performing your assigned': ['emeritus', 'compulsion', 'obsession', 'retired', 'exercise', 'number', 'station', 'setup', 'cast', 'casted', 'function', 'fee', 'quit', 'activity', 'clerk', 'clerking', 'implement', 'mak', 'make', 'relay', 'act', 'acy', 'discharged', 'play', 'power', 'registration', 'returns', 'sct', 'achievement', 'acting', 'action', 'active', 'art', 'change', 'drama', 'effort', 'expression', 'form', 'hand', 'handing', 'hardware', 'iff', 'implementation', 'live', 'loose', 'machine', 'off', 'penance', 'performance', 'pff']}",0.65
You working together for the greater good.,positive,cooperative,Working together for the greater good.,you working together greater good,working,working you, ,5.05,to do teamwork,"[['none'], ['happy'], ['a', 'good', 'friend'], ['mean'], ['have', 'fun'], ['make', 'a', 'good', 'impression'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time'], ['make', 'someone', 'happy'], ['a', 'good', 'friend', '.']]","['team', 'synergism', 'synergy', 'cooperation', 'joint', 'lap', 'repair', 'compatible', 'gang', 'relation', 'tackle', 'better', 'pulley', 'order', 'pair', 'allies', 'common', 'nest', 'yoke', 'tune-up', 'awkward', 'pledge', 'pledged', 'pledging', 'naturism', 'group', 'knit', 'mend', 'company', 'leave', 'party', 'set', 'society', 'work', 'cohesion', 'jointly', 'nested', 'nesting', 'platoon', 'caravan', 'paper', 'vetter', 'linkage', 'associate', 'blend', 'synergistic', 'synergetic', 'collaboration', 'interactive', 'lapped', 'upkeep', 'cooperate', 'overrule', 'darlington', 'engage', 'gut', 'honeymoon', 'guts', 'gutted', 'gutting', 'wikinews', 'necessity', 'seamanship', 'co-operation', 'whole', 'governance', 'engineer', 'burning', 'conspiracy', 'ensemble', 'interact', 'watch', 'bloc', 'meshing', 'scarf', 'ally', 'bevel gear', 'kbit', 'knitted', 'engine', 'tandem', 'janitor', 'congruence', 'habitat', 'pantograph', 'charity', 'worse', 'aphorism', 'semiconductor', 'serendipity', 'clash', 'clashing', 'wise', 'shampoo', 'wisdom', 'conscience', 'mean', 'efficiency', 'part', 'patt']","{'working for the greater': ['synergism', 'synergy', 'lathe', 'awareness', 'beam', 'better', 'compound', 'cooperation', 'course', 'develop', 'down', 'elaboration', 'extension', 'gallery', 'head', 'mean', 'part', 'power', 'press', 'pressed', 'pressure', 'race', 'run', 'spring', 'stress', 'synergetic', 'synergistic', 'tension', 'tub', 'under', 'co-operation', 'system', 'bench', 'assets', 'bias', 'float', 'panel', 'patt', 'runs', 'timetable', 'trade', 'trades', 'two', 'upping', 'ups', 'ant', 'battery', 'clear', 'collaboration', 'effectiveness']}",0.79
You holding back snide comments you have for a team member.,positive,cooperative,Holding back snide comments you have for a team member.,you holding back snide comments team member,holding,holding you, ,6.05,to make __ feel good,"[['none'], ['mean'], ['have', 'fun'], ['happy'], ['with', 'persony'], ['with', 'someone'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'persony', 'happy'], ['make', 'a', 'good', 'impression']]","['throw', 'small', 'return', 'returning', 'returns', 'restrain', 'restrained', 'restraining', 'reserve', 'tank', 'center', 'reserves', 'safety', 'touchback', 'relay', 'aut', 'out', 'anchor', 'tackle', 'restraint', 'anabaptist', 'fan', 'stringer', 'tie', 'tied', 'ties', 'missioner', 'sweeper', 'designated hitter', 'swingman', 'mennonite', 'testudo', 'cycle', 'tractarian', 'antipathy', 'remember', 'staffer', 'check', 'mate', 'checking', 'seal', 'halfback', 'foot', 'flip', 'shirt', 'dog', 'anchoring', 'retraction', 'backward', 'havelock', 'vest', 'lacrosse', 'one', 'pass', 'placed', 'placing', 'release', 'mates', 'mating', 'starter', 'fidelity', 'cynic', 'infer', 'full', 'forward', 'backbencher', 'regress', 'point', 'position', 'bak', 'nack', 'hold', 'string', 'wing', 'tail', 'tails', 'epilogue', 'group', 'right', 'join', 'red', 'sect', 'pack', 'radical', 'monitor', 'record', 'scorer', 'monitoring', 'strap', 'panel', 'panelled', 'panelling', 'carry', 'nail', 'clip', 'touchdown', 'home', 'stringing', 'strings', 'triangle']","{'holding comments have for a team': ['comment', 'centre', 'hold', 'command', 'leveler', 'leveller', 'tag', 'goalkeeper', 'hockey', 'cap', 'arm', 'contained', 'offense', 'curtain', 'point', 'points', 'evaluation', 'kibitz', 'position', 'notice', 'center', 'group', 'lift', 'documentation', 'epilogue', 'string', 'grip', 'money', 'peg', 'persuasion', 'receive', 'received', 'right', 'sect', 'caster', 'consistent', 'distribute', 'law of similarity', 'similarity', 'strap', 'transcendentalism', 'carry', 'dress', 'monitor', 'monitoring', 'tail', 'tails', 'vessel', 'pack', 'record']}",0.79
You doing the dishes after someone has just cooked for you.,positive,cooperative,Doing the dishes after someone has just cooked for you.,you dishes someone cooked,doing,you, ,5.41,to get started cooking,"[['none'], ['eat'], ['mean'], ['healthy'], ['have', 'fun'], ['help'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression'], ['make', 'someone', 'happy']]","['terrine', 'dishwasher', 'court-bouillon', 'ikan', 'ovenware', 'bake', 'curry', 'lie', 'pudding', 'dariole', 'soup', 'ramekin', 'ramequin', 'continental', 'clatter', 'cream', 'dished', 'dosh', 'dry', 'ordinary', 'pie', 'porcelain', 'wash', 'oven', 'dresser', 'pass', 'passed', 'peg', 'fry', 'clattering', 'dishwater', 'bubble', 'cook', 'pot', 'chitterlings', 'hash', 'liquor', 'roast', 'burn', 'cocotte', 'hamburger', 'kitchen', 'marmite', 'mess', 'stew', 'stewed', 'stewing', 'sushi', 'timbale', 'nap', 'hashing', 'devil', 'nao', 'napped', 'relishing', 'eat', 'take', 'food', 'trivet', 'butter', 'litter', 'order', 'ery', 'light diet', 'littering', 'loading', 'plaque', 'potluck', 'sauce', 'slice', 'stirrup', 'street', 'welsh', 'batter', 'blind', 'brick', 'burner', 'crock', 'deadwood', 'decking', 'die', 'dinner', 'draw', 'fool', 'fooling', 'form', 'gun', 'guns', 'lop', 'mixer', 'point', 'points', 'rub', 'stock', 'stocked', 'stocks', 'tap', 'trifle', 'chipper', 'gourmet']","{'doing cooked for': ['done', 'made', 'delicacy', 'awake', 'block', 'botch', 'botched', 'commenced', 'complete', 'completed', 'crime', 'developed', 'die', 'effective', 'engaged', 'fines', 'ghost', 'guilty', 'have', 'hold', 'hurry', 'inert', 'malice', 'operate', 'operated', 'pledge', 'pledged', 'pledging', 'put', 'save', 'scullery', 'seduction', 'see', 'shoot', 'simulation', 'kludge', 'bake', 'baked', 'barbecue', 'barbeque', 'boil', 'boiled', 'broil', 'broth', 'bubble', 'burn', 'charlotte', 'common purslane', 'deli', 'delicatessen']}",0.85
You trying to adapt to the new changes at work,positive,cooperative,Trying to adapt to the new changes at work,you trying adapt new changes work,trying,trying you, ,,improve their well-being,"[['none'], ['have', 'fun'], ['the', 'best'], ['make', 'money'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['get', 'to', 'work'], ['make', 'a', 'good', 'impression'], ['get', 'a', 'good', 'job']]","['innovate', 'convert', 'tailor', 'retouch', 'retouching', 'change', 'breakthrough', 'gradualism', 'conservative', 'review', 'progress', 'browning', 'activism', 'acclimatize', 'adjust', 'adaptively', 'revise', 'recycle', 'fit', 'break', 'port', 'ports', 'condition', 'conditions', 'fitted', 'adjusting', 'edit', 'broom', 'revised', 'revising', 'new broom', 'compile', 'compiling', 'recycling', 'adaptation', 'mak', 'turn', 'adjustment', 'better', 'retool', 'touch', 'touched', 'test', 'tested', 'make', 'tailored', 'lead', 'get', 'evolution', 'variation', 'round', 'rounds', 'switch', 'alteration', 'lamarckism', 'tamper', 'tampering', 'nullify', 'run', 'trade', 'reorganization', 'court', 'busy', 'treaty', 'motion', 'hot', 'frame', 'perspective', 'reprint', 'redaction', 'alternation', 'gunt', 'hunt', 'hunted', 'design', 'reviewing', 'open', 'shift', 'transfer', 'downshift', 'point', 'edition', 'accommodation', 'changing', 'conversion', 'case', 'index', 'naturalization', 'exchange', 'modification', 'force', 'forces', 'log', 'through', 'universal', 'shake', 'shakes', 'shaking', 'program', 'invention']","{'trying adapt changes at': ['activism', 'acclimatize', 'tropophyte', 'tropophilous', 'break', 'better', 'deliberate', 'grasp', 'vetter', 'touch', 'touched', 'test', 'tested', 'retool', 'get', 'true', 'tryout', 'convert', 'mak', 'intelligence', 'adjustment', 'turn', 'frame', 'fashion', 'make', 'prepare', 'tailored', 'take', 'ingratiate', 'alteration', 'anamorphosis', 'breakthrough', 'evolution', 'lamarckism', 'round', 'rounds', 'switch', 'tamper', 'tampering', 'variation', 'understanding', 'meander', 'meandering', 'rebuild', 'rebuilding', 'accomplish', 'announce', 'autism', 'busy', 'correction']}",0.66
You working on a team project without starting conflicts.,positive,cooperative,Working on a team project without starting conflicts.,you working team project without starting conflicts,working,working you, ,5.05,to relax,"[['none'], ['mean'], ['have', 'fun'], ['win'], ['happy'], ['have', 'a', 'good', 'time'], ['make', 'someone', 'happy'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy'], ['get', 'to', 'work']]","['scoop', 'scooping', 'tact', 'scratch', 'conversion', 'scratched', 'act', 'acy', 'frame', 'adverse', 'mime', 'business', 'pass', 'passed', 'clean', 'cleaned', 'cease', 'ceasing', 'automatic', 'voluntary', 'release', 'idle', 'breakaway', 'walkthrough', 'rash', 'bet', 'standing', 'prosecution', 'starter', 'dead', 'bellicose', 'platoon', 'chisel', 'crew', 'method', 'active', 'hearing', 'drive', 'idling', 'aggression', 'passenger', 'trial', 'rage', 'lap', 'develop', 'deliberation', 'cordless', 'slip', 'inning', 'evolution', 'von braun', 'operation', 'ear', 'rar', 'against', 'collegium', 'prevention', 'mie', 'raid', 'question', 'adjustment', 'revenge', 'resolution', 'offense', 'caption', 'ramification', 'compatibility', 'easily', 'prejudice', 'prejudiced', 'carry', 'start', 'circulation', 'score', 'draft', 'lead', 'face', 'off', 'davit', 'strat', 'attack', 'drafted', 'attacking', 'attacks', 'return', 'mechanical', 'brachystochrone', 'bottom', 'shut', 'throw', 'foot', 'die', 'exercise', 'block', 'round', 'iff', 'pff', 'touchdown', 'prospect', 'bid']","{'working on a team': ['platoon', 'section', 'combination', 'scoop', 'scooping', 'sectioned', 'sectioning', 'cooperatively', 'tiger team', 'ally', 'army', 'bus', 'cast', 'cohesion', 'collaborate', 'cooperate', 'crew', 'crewed', 'cycle', 'det', 'draft', 'drafted', 'employee', 'end', 'face', 'field', 'flied', 'follow', 'gang', 'group', 'groups', 'hammer', 'hammered', 'hammering', 'hammers', 'isar', 'lead', 'line', 'loose', 'machine', 'mak', 'make', 'man', 'meeting', 'mission', 'off', 'one', 'out', 'pair', 'panel']}",0.69
